feature,importance
num__PM2.5,0.22483706856855756
num__PM10,0.14096711327275604
num__CO,0.09181820562071787
num__O3,0.05592234850448456
num__NO2,0.05127984690539633
num__NO,0.04937326266319039
num__NOx,0.048200572124346704
num__SO2,0.04647764187626325
num__NH3,0.03581662743140193
num__Toluene,0.035580019427334623
num__Benzene,0.033374330070814605
num__day,0.0286903611975593
num__month,0.028117954367415952
num__year,0.021746755630452953
num__Xylene,0.0194996249099296
num__day_of_week,0.017728843946800753
cat__City_Ahmedabad,0.012478492487623958
num__is_weekend,0.00512904470136204
cat__City_Delhi,0.004991487602775729
cat__City_Lucknow,0.0047234322294382874
cat__City_Chennai,0.004392905191184772
cat__City_Gurugram,0.004032171575728428
cat__City_Hyderabad,0.0035258883655873204
cat__City_Patna,0.0034741334668010465
cat__City_Bengaluru,0.0034177017890701187
cat__City_Thiruvananthapuram,0.0024260960982854037
cat__City_Mumbai,0.0022102577877431027
cat__City_Guwahati,0.0019235195792870947
cat__City_Talcher,0.0018459851452571091
cat__City_Brajrajnagar,0.0018326993432684574
cat__City_Jaipur,0.0017673924593353102
cat__City_Visakhapatnam,0.0016510929241001972
cat__City_Jorapokhar,0.0015618791877959476
cat__City_Amritsar,0.0015596315122705373
cat__City_Aizawl,0.001419037351198556
cat__City_Kolkata,0.0013748611999158293
cat__City_Coimbatore,0.0012154513356058935
cat__City_Amaravati,0.0010877708534829302
cat__City_Shillong,0.0007606513552092643
cat__City_Bhopal,0.0005825930020904078
cat__City_Chandigarh,0.000509837099464647
cat__City_Ernakulam,0.00043315038605730406
cat__City_Kochi,0.00024225945263796738
