feature,importance
num__PM2.5,0.49140157742269996
num__CO,0.36785543473927335
num__PM10,0.03640434027307639
num__NO,0.03587570055354569
num__O3,0.011544793800301545
num__NOx,0.008713392820597365
num__SO2,0.007082009627042209
num__NO2,0.005537289985374112
num__Toluene,0.005501676146376148
num__day,0.0048647615997251354
num__Xylene,0.00463357179996756
num__year,0.003856056756197477
num__Benzene,0.0037588005055613424
num__month,0.002610332320674928
num__NH3,0.0019895999909576036
num__day_of_week,0.0018533771006536744
cat__City_Ahmedabad,0.0011586086946397327
cat__City_Delhi,0.00101560373965679
cat__City_Bengaluru,0.0008903094924845146
cat__City_Chennai,0.0008372450098624071
cat__City_Hyderabad,0.0005720830497727698
cat__City_Gurugram,0.0004112301631267574
cat__City_Amritsar,0.0003470505992839619
num__is_weekend,0.0002454884957561784
cat__City_Lucknow,0.0002391324111610457
cat__City_Jaipur,0.0001338433795108146
cat__City_Patna,0.0001203500930401098
cat__City_Guwahati,0.00011190077469005779
cat__City_Jorapokhar,0.00011127561064206951
cat__City_Visakhapatnam,7.781986668169648e-05
cat__City_Talcher,7.181395905046563e-05
cat__City_Brajrajnagar,4.767894015950086e-05
cat__City_Bhopal,2.455465714934735e-05
cat__City_Thiruvananthapuram,2.3144207963136607e-05
cat__City_Mumbai,2.110342201632368e-05
cat__City_Kolkata,1.4583807728268277e-05
cat__City_Amaravati,1.4540263759807535e-05
cat__City_Aizawl,8.599825119359756e-06
cat__City_Chandigarh,6.700999725974582e-06
cat__City_Coimbatore,5.6365694737107564e-06
cat__City_Ernakulam,4.069459971910669e-06
cat__City_Kochi,1.5950604294969459e-06
cat__City_Shillong,1.3220051192348202e-06
